3.477826,-13.160395,12.453312,12.257051,2.955276,-12.555924,-8.571076,-4.769034,-1.097843,6.680127,2.112722,-10.037791,-13.211864,14.705040,5.831480,-7.963021,-13.236506,-1.781029,10.364771,5.809142,6.327006,-1.941762,-10.974935,-6.442873,3.631711
3.486133,-13.150287,12.452825,12.266188,3.000215,-12.538222,-8.549249,-4.724647,-1.059200,6.712059,2.141096,-10.028143,-13.190635,14.731359,5.832856,-7.930747,-13.218997,-1.767490,10.370053,5.849661,6.331776,-1.899232,-10.934693,-6.431293,3.632667
3.494239,-13.139544,12.451614,12.274705,3.044475,-12.520196,-8.526135,-4.680946,-1.020761,6.743605,2.169308,-10.017790,-13.168787,14.757051,5.834951,-7.898120,-13.201166,-1.753098,10.375096,5.889715,6.336780,-1.856724,-10.894878,-6.419417,3.632718
3.502141,-13.128166,12.449679,12.282602,3.088058,-12.501846,-8.501733,-4.637931,-0.982525,6.774765,2.197358,-10.006734,-13.146323,14.782117,5.837766,-7.865139,-13.183013,-1.737854,10.379900,5.929303,6.342018,-1.814238,-10.855488,-6.407245,3.631865
3.509842,-13.116153,12.447022,12.289878,3.130962,-12.483171,-8.476045,-4.595601,-0.944492,6.805539,2.225245,-9.994975,-13.123241,14.806556,5.841299,-7.831805,-13.164538,-1.721757,10.384465,5.968426,6.347491,-1.771773,-10.816524,-6.394776,3.630108
3.517340,-13.103504,12.443640,12.296533,3.173187,-12.464173,-8.449070,-4.553957,-0.906663,6.835926,2.252970,-9.982511,-13.099542,14.830369,5.845551,-7.798117,-13.145742,-1.704807,10.388791,6.007083,6.353199,-1.729329,-10.777986,-6.382011,3.627447
3.524648,-13.090221,12.439578,12.302579,3.214690,-12.444841,-8.420937,-4.512945,-0.869112,6.865925,2.280533,-9.969337,-13.075218,14.853536,5.850382,-7.764076,-13.126645,-1.687057,10.392908,6.045243,6.359197,-1.686920,-10.739772,-6.368949,3.624081
3.531768,-13.076304,12.434836,12.308015,3.255468,-12.425176,-8.391647,-4.472564,-0.831840,6.895537,2.307932,-9.955451,-13.050270,14.876056,5.855791,-7.729683,-13.107248,-1.668507,10.396818,6.082906,6.365484,-1.644544,-10.701884,-6.355590,3.620010
3.538697,-13.061754,12.429413,12.312841,3.295522,-12.405177,-8.361199,-4.432816,-0.794846,6.924762,2.335169,-9.940855,-13.024696,14.897930,5.861779,-7.694936,-13.087552,-1.649156,10.400519,6.120072,6.372061,-1.602202,-10.664320,-6.341935,3.615234
3.545438,-13.046569,12.423310,12.317058,3.334853,-12.384845,-8.329594,-4.393699,-0.758131,6.953600,2.362244,-9.925548,-12.998499,14.919157,5.868345,-7.659837,-13.067555,-1.629005,10.404011,6.156741,6.378927,-1.559894,-10.627081,-6.327983,3.609754
3.551989,-13.030751,12.416527,12.320665,3.373461,-12.364179,-8.296832,-4.355214,-0.721693,6.982050,2.389155,-9.909530,-12.971676,14.939738,5.875489,-7.624384,-13.047258,-1.608053,10.407296,6.192913,6.386083,-1.517619,-10.590166,-6.313734,3.603569
3.558357,-13.014300,12.409106,12.323674,3.411315,-12.343174,-8.263036,-4.317288,-0.685617,7.010112,2.415904,-9.892797,-12.944224,14.959663,5.883091,-7.588581,-13.026681,-1.586369,10.410407,6.228557,6.393560,-1.475391,-10.553482,-6.299189,3.596870
3.564543,-12.997218,12.401048,12.326084,3.448418,-12.321828,-8.228209,-4.279921,-0.649903,7.037786,2.442490,-9.875349,-12.916141,14.978932,5.891152,-7.552426,-13.005824,-1.563952,10.413344,6.263673,6.401359,-1.433211,-10.517028,-6.284346,3.589659
3.570546,-12.979505,12.392353,12.327895,3.484767,-12.300142,-8.192348,-4.243114,-0.614549,7.065072,2.468913,-9.857187,-12.887428,14.997544,5.899670,-7.515919,-12.984686,-1.540803,10.416107,6.298261,6.409478,-1.391078,-10.480803,-6.269207,3.581935
3.576367,-12.961159,12.383021,12.329108,3.520364,-12.278116,-8.155454,-4.206865,-0.579557,7.091969,2.495174,-9.838309,-12.858084,15.015501,5.908647,-7.479062,-12.963269,-1.516921,10.418697,6.332321,6.417919,-1.348991,-10.444809,-6.253772,3.573698
3.582006,-12.942182,12.373051,12.329723,3.555208,-12.255750,-8.117528,-4.171176,-0.544926,7.118479,2.521272,-9.818717,-12.828111,15.032802,5.918082,-7.441852,-12.941571,-1.492307,10.421114,6.365853,6.426681,-1.306952,-10.409045,-6.238039,3.564948
3.587472,-12.922577,12.362483,12.329750,3.589289,-12.233040,-8.078685,-4.135965,-0.510744,7.144600,2.547207,-9.798410,-12.797503,15.049441,5.927875,-7.404294,-12.919610,-1.467036,10.423391,6.398827,6.435778,-1.264975,-10.373425,-6.222011,3.555868
3.592767,-12.902342,12.351314,12.329191,3.622606,-12.209985,-8.038926,-4.101233,-0.477011,7.170332,2.572980,-9.777388,-12.766262,15.065417,5.938025,-7.366387,-12.897386,-1.441108,10.425528,6.431244,6.445210,-1.223060,-10.337951,-6.205685,3.546456
3.597889,-12.881479,12.339546,12.328045,3.655161,-12.186585,-7.998250,-4.066978,-0.443727,7.195676,2.598590,-9.755650,-12.734388,15.080730,5.948533,-7.328130,-12.874898,-1.414523,10.427526,6.463102,6.454977,-1.181207,-10.302621,-6.189064,3.536714
3.602840,-12.859987,12.327179,12.326312,3.686953,-12.162840,-7.956658,-4.033202,-0.410892,7.220631,2.624038,-9.733197,-12.701879,15.095381,5.959399,-7.289525,-12.852148,-1.387280,10.429384,6.494403,6.465080,-1.139416,-10.267435,-6.172146,3.526641
